Index[#version],Pointer[#version|],Original,Translated
237,0x1201ac,@0x12019e,@0x12019e
238,0x1201c6,@0x1201c4,@0x1201c4
239,0x1201ca,@0x1201c8,@0x1201c8
240,0x1201cc,@0x1201c8,@0x1201c8
241,0x1201ce,@0x1201c8,@0x1201c8
242,0x1201d2,@0x1201d0,@0x1201d0
243,0x1201d4,@0x1201d0,@0x1201d0
244,0x1201d6,@0x1201d0,@0x1201d0
245,0x1201da,@0x1201d8,@0x1201d8
246,0x1201dc,@0x1201d8,@0x1201d8
247,0x1201de,@0x1201d8,@0x1201d8
248,0x1201e0,@0x1201d8,@0x1201d8
249,0x1201e6,@0x1201e4,@0x1201e4
250,0x1201f2,@0x1201f0,@0x1201f0
251,0x1201f4,@0x1201f0,@0x1201f0
252,0x1201f6,@0x1201f0,@0x1201f0
253,0x1201f8,@0x1201f0,@0x1201f0
254,0x1201fa,@0x1201f0,@0x1201f0
255,0x1201fc,@0x1201f0,@0x1201f0
256,0x1201fe,@0x1201f0,@0x1201f0
